text,spam
"Subject:""Congratulations! You've won a prize!""",1
"Subject: ""Meeting agenda for tomorrow""",0
"Subject: ""Update your account information""",1
"Subject: ""Exclusive deal just for you!""",1
"Subject: ""Your order has been shipped""",0
"Subject: ""Urgent: Verify your identity""",1
"Subject: ""Lunch plans?""",0
"Subject: ""Limited time offer!""",1
"Subject: ""Important security notice""",1
"Subject: ""Project update attached""",0
"Subject: ""Important security notice""",1
"Subject: ""Project update attached""",0
"Subject: ""Free gift with your next purchase!""",1
"Subject: ""Reminder: Doctor's appointment""",0
"Subject: ""Claim your cash prize now!""",1
"Subject: ""Quarterly performance review""",0
"Subject: ""You've been pre-approved for a loan!""",1
"Subject: ""Family reunion this weekend""",0
"Subject: ""Double your earnings in a week!""",1
"Subject: ""Happy Birthday!""",0
"Subject: ""Don't miss this amazing offer!""",1
"Subject: ""Your package is out for delivery""",0
"Subject: ""Win big with this amazing offer!""",1
"Subject: ""Update your password now""",1
"Subject: ""Important: Action required on your account""",1
"Subject: ""Congratulations, you’ve been selected!""",1
"Subject: ""Special promotion just for you!""",1
"Subject: ""Check out these new arrivals""",0
"Subject: ""Get rich quick with this investment""",1
"Subject: ""Don't miss this exclusive deal""",1
"Subject: ""Invitation to join our VIP club""",1
"Subject: ""Reminder: Your bill is overdue""",0
"Subject: ""You’ve won a free vacation!""",1
"Subject: ""Update your billing information""",1
"Subject: ""Discover how to lose weight fast""",1
"Subject: ""Your subscription is about to expire""",0
"Subject: ""Earn money from home easily""",1
"Subject: ""Important information about your account""",1
"Subject: ""Get a free consultation now""",1
"Subject: ""Reminder: Your appointment tomorrow""",0
"Subject: ""Limited time offer: Save 70% now!""",1
"Subject: ""Secure your financial future today""",1
"Subject: ""Your delivery has been scheduled""",0
"Subject: ""Congratulations, you’ve won a gift card!""",1
"Subject: ""Update required for your account""",1
"Subject: ""Huge discounts on all products""",1
"Subject: ""Monthly newsletter update""",0
"Subject: ""Get paid to take surveys""",1
"Subject: ""Reminder: Your service is ending soon""",0
"Subject: ""Exclusive: Early access to our sale!""",1
"Subject: ""Your account has been compromised""",1
"Subject: ""Thank you for your purchase""",0
"Subject: ""Win a free iPad today!""",1
"Subject: ""Last chance: Offer ends soon""",1
"Subject: ""Action needed: Verify your account""",1
"Subject: ""Free trial: Sign up now""",1
"Subject: ""New updates available for your account""",0
"Subject: ""Earn cash quickly with this offer""",1
"Subject: ""Special offer for our valued customer""",1
"Subject: ""Your account needs attention""",1
"Subject: ""Daily deals and discounts""",0
"Subject: ""Congratulations on your prize!""",1
"Subject: ""Your order confirmation""",0
"Subject: ""Limited time offer: Act fast!""",1
"Subject: ""You have a new message""",0
"Subject: ""Special promotion just for you!""",1
"Subject: ""Sign up for free to get exclusive offers""",1
"Subject: ""Congratulations, you’re our winner!""",1
"Subject: ""Claim your free trial now""",1
"Subject: ""Your urgent attention is needed""",1
"Subject: ""Special offer: 50% off everything""",1
"Subject: ""Get a loan with no credit check""",1
"Subject: ""Reminder: Your payment is overdue""",0
"Subject: ""Free sample just for you""",1
"Subject: ""Limited time only: Get rich quick!""",1
"Subject: ""Exclusive offer for valued customers""",1
"Subject: ""Important: Account verification needed""",1
"Subject: ""You’ve won a $1000 gift card!""",1
"Subject: ""Your account is locked""",1
"Subject: ""Best deals of the year inside!""",1
"Subject: ""Monthly account statement""",0
"Subject: ""Act now: Free prize inside""",1
"Subject: ""Upgrade your subscription now""",0
"Subject: ""Opportunity to earn money from home""",1
"Subject: ""Win a free gift card worth $500""",1
"Subject: ""Update: Your account has a new message""",0
"Subject: ""Exclusive deal for a limited time""",1
"Subject: ""Check your inbox for a special offer!""",1
"Subject: ""Don’t miss this amazing opportunity""",1
